
Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=3
Sandbox set applied: doom-species (1 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  late       the-abortive              aggro-brute  policy-pick             0%  0/0/60/0       3.1        9%     16%    39%  100% 1.00   44%
  late       the-abortive              turtle       policy-pick             0%  0/0/60/0       3.0        1%     56%    43%  100% 1.00   78%
  late       the-abortive              chaos        policy-pick             0%  0/0/60/0       3.0        7%     23%    59%  100% 1.00   40%
  late       the-abortive              mercy-seeker policy-pick             0%  0/0/60/0       3.7        1%     24%    18%  100% 1.00   50%
  impossible the-incompleteness        greedy       policy-pick             0%  0/0/60/0       5.0       15%     33%    47%  100% 0.99   34%
  impossible the-incompleteness        blind        policy-pick             0%  0/0/60/0       5.0       15%     33%    47%  100% 0.99   34%
  impossible the-incompleteness        dot-weaver   policy-pick             5%  0/3/57/0       5.0       32%     54%    45%  100% 1.00   34%
  impossible the-incompleteness        control-lock policy-pick             0%  0/0/60/0       5.0        9%     55%    45%  100% 1.00  100%
  impossible the-incompleteness        aggro-brute  policy-pick             0%  0/0/60/0       5.1       10%     20%    45%  100% 1.00   37%
  impossible the-incompleteness        turtle       policy-pick             0%  0/0/60/0       5.0        1%     43%    32%  100% 1.00   46%
  impossible the-incompleteness        chaos        policy-pick             0%  0/0/60/0       5.0        8%     24%    41%  100% 0.99   34%
  impossible the-incompleteness        mercy-seeker policy-pick             0%  0/0/60/0       6.0        1%     24%    19%  100% 1.00   59%

Win-path mix (per cell — victory/mercy/capitulate/concede/defeat):
  early      grave-larva               greedy       policy-pick           vic= 51 mer=  0 cap=  9 con=  0 def=  0
  early      grave-larva               blind        policy-pick           vic= 51 mer=  0 cap=  9 con=  0 def=  0
  early      grave-larva               dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               control-lock policy-pick           vic= 28 mer=  0 cap= 21 con=  0 def= 11
  early      grave-larva               aggro-brute  policy-pick           vic= 56 mer=  0 cap=  4 con=  0 def=  0
  early      grave-larva               turtle       policy-pick           vic=  2 mer=  0 cap=  0 con=  0 def= 58
  early      grave-larva               chaos        policy-pick           vic= 51 mer=  0 cap=  9 con=  0 def=  0
  early      grave-larva               mercy-seeker policy-pick           vic= 20 mer=  0 cap= 33 con=  0 def=  7
  early      foot-stealer              greedy       policy-pick           vic= 53 mer=  0 cap=  7 con=  0 def=  0
  early      foot-stealer              blind        policy-pick           vic= 54 mer=  0 cap=  6 con=  0 def=  0
  early      foot-stealer              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              control-lock policy-pick           vic= 34 mer=  0 cap= 21 con=  0 def=  5
  early      foot-stealer              aggro-brute  policy-pick           vic= 55 mer=  0 cap=  5 con=  0 def=  0
  early      foot-stealer              turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      foot-stealer              chaos        policy-pick           vic= 54 mer=  0 cap=  6 con=  0 def=  0
  early      foot-stealer              mercy-seeker policy-pick           vic= 47 mer=  0 cap=  0 con=  0 def= 13
  early      little-belle              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              blind        policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      little-belle              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              control-lock policy-pick           vic= 24 mer=  0 cap= 29 con=  0 def=  7
  early      little-belle              aggro-brute  policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      little-belle              turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      little-belle              chaos        policy-pick           vic= 54 mer=  0 cap=  5 con=  0 def=  1
  early      little-belle              mercy-seeker policy-pick           vic= 52 mer=  0 cap=  1 con=  0 def=  7
  early      water-holger              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              blind        policy-pick           vic= 58 mer=  0 cap=  2 con=  0 def=  0
  early      water-holger              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              control-lock policy-pick           vic= 23 mer=  0 cap= 26 con=  0 def= 11
  early      water-holger              aggro-brute  policy-pick           vic= 58 mer=  0 cap=  2 con=  0 def=  0
  early      water-holger              turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      water-holger              chaos        policy-pick           vic= 55 mer=  0 cap=  4 con=  0 def=  1
  early      water-holger              mercy-seeker policy-pick           vic= 43 mer=  0 cap=  3 con=  0 def= 14
  early      the-butcher               greedy       policy-pick           vic= 43 mer=  0 cap=  5 con=  0 def= 12
  early      the-butcher               blind        policy-pick           vic= 43 mer=  0 cap=  5 con=  0 def= 12
  early      the-butcher               dot-weaver   policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      the-butcher               control-lock policy-pick           vic=  8 mer=  0 cap=  1 con=  0 def= 51
  early      the-butcher               aggro-brute  policy-pick           vic= 38 mer=  0 cap=  2 con=  0 def= 20
  early      the-butcher               turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      the-butcher               chaos        policy-pick           vic= 34 mer=  0 cap=  4 con=  0 def= 22
  early      the-butcher               mercy-seeker policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      king-of-revenge           greedy       policy-pick           vic=  8 mer=  0 cap=  0 con=  0 def= 52
  early      king-of-revenge           blind        policy-pick           vic=  8 mer=  0 cap=  0 con=  0 def= 52
  early      king-of-revenge           dot-weaver   policy-pick           vic= 34 mer=  0 cap=  0 con=  0 def= 26
  early      king-of-revenge           control-lock policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      king-of-revenge           aggro-brute  policy-pick           vic=  6 mer=  0 cap=  0 con=  0 def= 54
  early      king-of-revenge           turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      king-of-revenge           chaos        policy-pick           vic=  9 mer=  0 cap=  0 con=  0 def= 51
  early      king-of-revenge           mercy-seeker policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  greedy       policy-pick           vic=  5 mer=  0 cap= 19 con=  0 def= 36
