
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --cards --sandbox=sequencing-microset


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: sequencing-microset (6 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  late       death                     greedy       policy-pick             0%  0/0/60/0       3.4       15%     24%    20%  100% 1.00   49%
  late       death                     blind        policy-pick             0%  0/0/60/0       3.4       15%     24%    20%  100% 1.00   49%
  late       death                     dot-weaver   policy-pick             0%  0/0/60/0       3.0       30%     53%    47%  100% 0.98   32%
  late       death                     control-lock policy-pick             0%  0/0/60/0       3.5       29%     43%    36%  100% 1.00   33%
  late       death                     aggro-brute  policy-pick             0%  0/0/60/0       3.0       17%     27%    23%  100% 1.00   28%
  late       death                     turtle       policy-pick             0%  0/0/60/0       3.0        3%     47%    53%  100% 1.00   41%
  late       death                     chaos        policy-pick             0%  0/0/60/0       3.3        9%     27%    24%  100% 1.00   46%
  late       death                     mercy-seeker policy-pick             0%  0/0/60/0       3.2        8%     41%    59%  100% 1.00   42%
  late       the-abortive              greedy       policy-pick             0%  0/0/60/0       3.4       15%     18%    15%  100% 1.00   58%
  late       the-abortive              blind        policy-pick             0%  0/0/60/0       3.4       15%     19%    16%  100% 1.00   57%
  late       the-abortive              dot-weaver   policy-pick             0%  0/0/60/0       3.0       31%     53%    47%  100% 0.98   28%
  late       the-abortive              control-lock policy-pick             0%  0/0/60/0       3.4       28%     38%    32%  100% 1.00   33%
  late       the-abortive              aggro-brute  policy-pick             0%  0/0/60/0       3.0       18%     20%    17%  100% 1.00   35%
