
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        rawhead-rex               control-lock policy-pick            10%  6/0/54/0       4.0       35%     49%    43%  100% 1.00   42%
  mid        rawhead-rex               aggro-brute  policy-pick             0%  0/0/60/0       3.0       13%     30%    51%  100% 1.00   38%
  mid        rawhead-rex               turtle       policy-pick             0%  0/0/60/0       3.0        3%     52%    48%  100% 1.00   78%
  mid        rawhead-rex               chaos        policy-pick             0%  0/0/60/0       3.1        9%     59%    41%  100% 1.00   53%
  mid        rawhead-rex               mercy-seeker policy-pick             0%  0/0/60/0       3.4        4%     48%    52%  100% 1.00   58%
  late       fire-giant                greedy       policy-pick             0%  0/0/60/0       4.0       14%     55%    45%  100% 0.99   42%
  late       fire-giant                blind        policy-pick             0%  0/0/60/0       4.0       14%     55%    45%  100% 0.99   42%
  late       fire-giant                dot-weaver   policy-pick             0%  0/0/60/0       4.4       19%     53%    46%  100% 1.00   36%
  late       fire-giant                control-lock policy-pick             3%  2/0/58/0       5.4       31%     43%    55%  100% 1.00   42%
  late       fire-giant                aggro-brute  policy-pick             0%  0/0/60/0       6.0       14%     22%    17%  100% 1.00   37%
  late       fire-giant                turtle       policy-pick             0%  0/0/60/0       4.0        2%     22%    58%  100% 1.00   34%
  late       fire-giant                chaos        policy-pick             0%  0/0/60/0       4.0        4%     55%    45%  100% 1.00   37%
  late       fire-giant                mercy-seeker policy-pick             0%  0/0/60/0       4.7        4%     16%    63%  100% 1.00   32%
  late       rangda                    greedy       policy-pick             0%  0/0/60/0       3.0       13%     57%    43%  100% 1.00   39%
  late       rangda                    blind        policy-pick             0%  0/0/60/0       3.0       13%     57%    43%  100% 1.00   39%
  late       rangda                    dot-weaver   policy-pick             0%  0/0/60/0       3.3       19%     52%    46%  100% 1.00   31%
  late       rangda                    control-lock policy-pick             0%  0/0/60/0       3.9       30%     44%    52%  100% 1.00   46%
  late       rangda                    aggro-brute  policy-pick             0%  0/0/60/0       4.0       14%     25%    21%  100% 1.00   34%
  late       rangda                    turtle       policy-pick             0%  0/0/60/0       3.0        2%     20%    54%  100% 1.00   29%
  late       rangda                    chaos        policy-pick             0%  0/0/60/0       3.0        3%     54%    46%  100% 1.00   40%
  late       rangda                    mercy-seeker policy-pick             0%  0/0/60/0       3.5        4%     11%    68%  100% 1.00   32%
  late       tezcatlipoca              greedy       policy-pick             0%  0/0/60/0       3.0       13%     57%    43%  100% 1.00   44%
  late       tezcatlipoca              blind        policy-pick             0%  0/0/60/0       3.0       13%     57%    43%  100% 1.00   43%
  late       tezcatlipoca              dot-weaver   policy-pick             0%  0/0/60/0       3.2       18%     52%    46%  100% 1.00   33%
  late       tezcatlipoca              control-lock policy-pick             0%  0/0/60/0       3.8       30%     42%    54%  100% 1.00   39%
  late       tezcatlipoca              aggro-brute  policy-pick             0%  0/0/60/0       4.0       14%     26%    21%  100% 1.00   34%
  late       tezcatlipoca              turtle       policy-pick             0%  0/0/60/0       3.0        2%     21%    58%  100% 1.00   35%
  late       tezcatlipoca              chaos        policy-pick             0%  0/0/60/0       3.0        3%     50%    50%  100% 1.00   34%
  late       tezcatlipoca              mercy-seeker policy-pick             0%  0/0/60/0       3.4        4%     13%    58%  100% 1.00   29%
  late       arch-demon                greedy       policy-pick             0%  0/0/60/0       3.0       13%     55%    45%  100% 1.00   37%
  late       arch-demon                blind        policy-pick             0%  0/0/60/0       3.0       13%     55%    45%  100% 1.00   37%
  late       arch-demon                dot-weaver   policy-pick             0%  0/0/60/0       3.1       19%     52%    46%  100% 1.00   33%
  late       arch-demon                control-lock policy-pick             0%  0/0/60/0       3.8       30%     42%    56%  100% 1.00   42%
  late       arch-demon                aggro-brute  policy-pick             0%  0/0/60/0       4.0       14%     21%    17%  100% 1.00   37%
  late       arch-demon                turtle       policy-pick             0%  0/0/60/0       3.0        2%     24%    51%  100% 1.00   41%
  late       arch-demon                chaos        policy-pick             0%  0/0/60/0       3.0        3%     56%    44%  100% 1.00   42%
  late       arch-demon                mercy-seeker policy-pick             0%  0/0/60/0       3.5        4%     17%    60%  100% 1.00   35%
  late       death                     greedy       policy-pick             0%  0/0/60/0       3.0       13%     57%    43%  100% 1.00   44%
  late       death                     blind        policy-pick             0%  0/0/60/0       3.0       13%     57%    43%  100% 1.00   43%
  late       death                     dot-weaver   policy-pick             0%  0/0/60/0       3.2       18%     52%    46%  100% 1.00   33%
  late       death                     control-lock policy-pick             0%  0/0/60/0       3.8       30%     41%    54%  100% 1.00   39%
  late       death                     aggro-brute  policy-pick             0%  0/0/60/0       4.0       14%     26%    21%  100% 1.00   34%
  late       death                     turtle       policy-pick             0%  0/0/60/0       3.0        2%     21%    58%  100% 1.00   35%
  late       death                     chaos        policy-pick             0%  0/0/60/0       3.0        3%     50%    50%  100% 1.00   34%
  late       death                     mercy-seeker policy-pick             0%  0/0/60/0       3.4        4%     12%    59%  100% 1.00   31%
  late       the-abortive              greedy       policy-pick             0%  0/0/60/0       3.0       13%     57%    43%  100% 1.00   39%
  late       the-abortive              blind        policy-pick             0%  0/0/60/0       3.0       13%     57%    43%  100% 1.00   39%
  late       the-abortive              dot-weaver   policy-pick             0%  0/0/60/0       3.2       19%     52%    46%  100% 1.00   32%
  late       the-abortive              control-lock policy-pick             0%  0/0/60/0       3.9       30%     44%    52%  100% 1.00   46%
  late       the-abortive              aggro-brute  policy-pick             0%  0/0/60/0       4.0       14%     25%    21%  100% 1.00   34%
  late       the-abortive              turtle       policy-pick             0%  0/0/60/0       3.0        2%     20%    55%  100% 1.00   28%
  late       the-abortive              chaos        policy-pick             0%  0/0/60/0       3.0        3%     50%    50%  100% 1.00   41%
  late       the-abortive              mercy-seeker policy-pick             0%  0/0/60/0       3.5        4%     11%    68%  100% 1.00   32%
  impossible the-incompleteness        greedy       policy-pick             0%  0/0/60/0       5.0       16%     55%    45%  100% 0.99   49%
  impossible the-incompleteness        blind        policy-pick             0%  0/0/60/0       5.0       16%     55%    45%  100% 0.99   48%
  impossible the-incompleteness        dot-weaver   policy-pick             0%  0/0/60/0       5.0       18%     53%    46%  100% 1.00   32%
  impossible the-incompleteness        control-lock policy-pick             0%  0/0/60/0       5.9       30%     43%    53%  100% 1.00   37%
  impossible the-incompleteness        aggro-brute  policy-pick             0%  0/0/60/0       5.3       14%     25%    21%  100% 1.00   29%
  impossible the-incompleteness        turtle       policy-pick             0%  0/0/60/0       5.0        2%     20%    56%  100% 1.00   33%
  impossible the-incompleteness        chaos        policy-pick             0%  0/0/60/0       5.0        4%     52%    48%  100% 0.99   35%
  impossible the-incompleteness        mercy-seeker policy-pick             0%  0/0/60/0       5.7        4%     17%    58%  100% 1.00   33%

Win-path mix (per cell — victory/mercy/capitulate/concede/defeat):
  early      grave-larva               greedy       policy-pick           vic= 57 mer=  0 cap=  3 con=  0 def=  0
  early      grave-larva               blind        policy-pick           vic= 57 mer=  0 cap=  3 con=  0 def=  0
  early      grave-larva               dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
