
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --sandbox=conjure-exercise --cards


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: conjure-exercise (2 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  impossible the-incompleteness        greedy       policy-pick             0%  0/0/60/0       5.0       17%     52%    48%  100% 0.99   52%
  impossible the-incompleteness        blind        policy-pick             0%  0/0/60/0       5.0       17%     52%    48%  100% 0.99   52%
  impossible the-incompleteness        dot-weaver   policy-pick             0%  0/0/60/0       5.0       25%     56%    44%  100% 0.99   44%
  impossible the-incompleteness        control-lock policy-pick             8%  5/0/55/0       7.1       27%     41%    33%  100% 0.99   40%
  impossible the-incompleteness        aggro-brute  policy-pick             0%  0/0/60/0       5.0       16%     19%    17%  100% 0.99   45%
  impossible the-incompleteness        turtle       policy-pick             0%  0/0/60/0       5.0        2%     52%    39%  100% 0.98   76%
  impossible the-incompleteness        chaos        policy-pick             0%  0/0/60/0       5.0        9%     51%    49%  100% 0.99   46%
  impossible the-incompleteness        mercy-seeker policy-pick             0%  0/0/60/0       5.2        8%     38%    31%  100% 0.98   47%

Win-path mix (per cell — victory/mercy/capitulate/concede/defeat):
  early      grave-larva               greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               control-lock policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      grave-larva               aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               turtle       policy-pick           vic= 51 mer=  0 cap=  1 con=  0 def=  8
  early      grave-larva               chaos        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               mercy-seeker policy-pick           vic= 57 mer=  0 cap=  3 con=  0 def=  0
  early      foot-stealer              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              control-lock policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      foot-stealer              aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              turtle       policy-pick           vic= 46 mer=  0 cap=  0 con=  0 def= 14
  early      foot-stealer              chaos        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              mercy-seeker policy-pick           vic= 57 mer=  0 cap=  3 con=  0 def=  0
  early      little-belle              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              control-lock policy-pick           vic= 58 mer=  0 cap=  0 con=  0 def=  2
  early      little-belle              aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              turtle       policy-pick           vic= 52 mer=  0 cap=  2 con=  0 def=  6
  early      little-belle              chaos        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              mercy-seeker policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              control-lock policy-pick           vic= 56 mer=  0 cap=  1 con=  0 def=  3
  early      water-holger              aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              turtle       policy-pick           vic= 48 mer=  0 cap=  2 con=  0 def= 10
  early      water-holger              chaos        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              mercy-seeker policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      the-butcher               greedy       policy-pick           vic= 56 mer=  0 cap=  0 con=  0 def=  4
  early      the-butcher               blind        policy-pick           vic= 56 mer=  0 cap=  0 con=  0 def=  4
  early      the-butcher               dot-weaver   policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      the-butcher               control-lock policy-pick           vic= 38 mer=  0 cap=  0 con=  0 def= 22
  early      the-butcher               aggro-brute  policy-pick           vic= 55 mer=  0 cap=  0 con=  0 def=  5
  early      the-butcher               turtle       policy-pick           vic= 13 mer=  0 cap=  0 con=  0 def= 47
  early      the-butcher               chaos        policy-pick           vic= 39 mer=  0 cap=  0 con=  0 def= 21
  early      the-butcher               mercy-seeker policy-pick           vic= 49 mer=  0 cap=  0 con=  0 def= 11
  early      king-of-revenge           greedy       policy-pick           vic= 32 mer=  0 cap=  0 con=  0 def= 28
  early      king-of-revenge           blind        policy-pick           vic= 32 mer=  0 cap=  0 con=  0 def= 28
  early      king-of-revenge           dot-weaver   policy-pick           vic= 39 mer=  0 cap=  0 con=  0 def= 21
  early      king-of-revenge           control-lock policy-pick           vic= 12 mer=  0 cap=  0 con=  0 def= 48
  early      king-of-revenge           aggro-brute  policy-pick           vic= 31 mer=  0 cap=  0 con=  0 def= 29
  early      king-of-revenge           turtle       policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  early      king-of-revenge           chaos        policy-pick           vic= 12 mer=  0 cap=  0 con=  0 def= 48
  early      king-of-revenge           mercy-seeker policy-pick           vic= 10 mer=  0 cap=  0 con=  0 def= 50
  mid        tri-eyes                  greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  dot-weaver   policy-pick           vic= 31 mer=  0 cap=  0 con=  0 def= 29
  mid        tri-eyes                  control-lock policy-pick           vic= 25 mer=  0 cap=  8 con=  0 def= 27
  mid        tri-eyes                  aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  turtle       policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  mid        tri-eyes                  chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  mercy-seeker policy-pick           vic=  9 mer=  0 cap=  0 con=  0 def= 51
  mid        mirac                     greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     dot-weaver   policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
