
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --cards --sandbox=chooseX-vein


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: chooseX-vein (1 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        tri-eyes                  mercy-seeker policy-pick             2%  1/0/59/0       6.0        4%     32%    67%  100% 0.98   54%
  mid        mirac                     greedy       policy-pick             0%  0/0/60/0       4.0       22%     55%    45%  100% 0.99   51%
  mid        mirac                     blind        policy-pick             0%  0/0/60/0       4.0       22%     55%    45%  100% 0.99   51%
  mid        mirac                     dot-weaver   policy-pick             2%  1/0/59/0       3.2       35%     53%    47%  100% 0.99   32%
  mid        mirac                     control-lock policy-pick             5%  0/3/57/0       4.6       22%     49%    44%  100% 1.00   62%
  mid        mirac                     aggro-brute  policy-pick             0%  0/0/60/0       3.9       21%     19%    16%  100% 1.00   46%
  mid        mirac                     turtle       policy-pick             0%  0/0/60/0       3.8        1%     48%    52%  100% 0.98   38%
  mid        mirac                     chaos        policy-pick             0%  0/0/60/0       4.0       12%     56%    44%  100% 0.99   46%
  mid        mirac                     mercy-seeker policy-pick             0%  0/0/60/0       4.1        5%     32%    68%  100% 0.98   51%
  mid        hasshaku-sama             greedy       policy-pick             2%  0/1/59/0       5.0       23%     55%    45%  100% 0.98   43%
  mid        hasshaku-sama             blind        policy-pick             2%  0/1/59/0       5.0       23%     55%    45%  100% 0.98   42%
  mid        hasshaku-sama             dot-weaver   policy-pick            28%  17/0/43/0      4.1       35%     54%    46%  100% 0.99   31%
  mid        hasshaku-sama             control-lock policy-pick            17%  6/4/50/0       5.8       22%     50%    43%  100% 1.00   60%
  mid        hasshaku-sama             aggro-brute  policy-pick             0%  0/0/60/0       4.6       21%     20%    16%  100% 1.00   50%
  mid        hasshaku-sama             turtle       policy-pick             0%  0/0/60/0       4.0        1%     50%    50%  100% 0.98   49%
  mid        hasshaku-sama             chaos        policy-pick             2%  1/0/59/0       5.2       13%     56%    44%  100% 0.99   53%
  mid        hasshaku-sama             mercy-seeker policy-pick             0%  0/0/60/0       4.4        4%     28%    72%  100% 0.98   56%
  mid        jeweled-tree              greedy       policy-pick            23%  11/3/46/0      5.6       23%     55%    45%  100% 0.98   47%
