
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards --sandbox=roles-forge


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: roles-forge (2 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      the-butcher               dot-weaver   policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      the-butcher               control-lock policy-pick           vic= 38 mer=  0 cap=  0 con=  0 def= 22
  early      the-butcher               aggro-brute  policy-pick           vic= 56 mer=  0 cap=  0 con=  0 def=  4
  early      the-butcher               turtle       policy-pick           vic= 10 mer=  0 cap=  0 con=  0 def= 50
  early      the-butcher               chaos        policy-pick           vic= 40 mer=  0 cap=  0 con=  0 def= 20
  early      the-butcher               mercy-seeker policy-pick           vic= 42 mer=  0 cap=  0 con=  0 def= 18
  early      king-of-revenge           greedy       policy-pick           vic= 33 mer=  0 cap=  0 con=  0 def= 27
  early      king-of-revenge           blind        policy-pick           vic= 33 mer=  0 cap=  0 con=  0 def= 27
  early      king-of-revenge           dot-weaver   policy-pick           vic= 39 mer=  0 cap=  0 con=  0 def= 21
  early      king-of-revenge           control-lock policy-pick           vic= 12 mer=  0 cap=  0 con=  0 def= 48
  early      king-of-revenge           aggro-brute  policy-pick           vic= 31 mer=  0 cap=  0 con=  0 def= 29
  early      king-of-revenge           turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      king-of-revenge           chaos        policy-pick           vic= 12 mer=  0 cap=  0 con=  0 def= 48
  early      king-of-revenge           mercy-seeker policy-pick           vic=  9 mer=  0 cap=  0 con=  0 def= 51
  mid        tri-eyes                  greedy       policy-pick           vic= 38 mer=  0 cap=  1 con=  0 def= 21
  mid        tri-eyes                  blind        policy-pick           vic= 38 mer=  0 cap=  1 con=  0 def= 21
  mid        tri-eyes                  dot-weaver   policy-pick           vic= 43 mer=  0 cap=  0 con=  0 def= 17
  mid        tri-eyes                  control-lock policy-pick           vic= 40 mer=  0 cap=  9 con=  0 def= 11
  mid        tri-eyes                  aggro-brute  policy-pick           vic=  2 mer=  0 cap=  0 con=  0 def= 58
  mid        tri-eyes                  turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  chaos        policy-pick           vic= 11 mer=  0 cap=  0 con=  0 def= 49
  mid        tri-eyes                  mercy-seeker policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     dot-weaver   policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     control-lock policy-pick           vic= 11 mer=  0 cap=  0 con=  0 def= 49
  mid        mirac                     aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     mercy-seeker policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
