
Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: bridge-rewards (6 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  late       death                     mercy-seeker policy-pick             0%  0/0/60/0       3.6       15%     20%    57%  100% 1.00   39%
  late       the-abortive              greedy       policy-pick             0%  0/0/60/0       3.5       11%     20%    16%  100% 1.00   64%
  late       the-abortive              blind        policy-pick             0%  0/0/60/0       3.5       12%     21%    17%  100% 1.00   63%
  late       the-abortive              dot-weaver   policy-pick             0%  0/0/60/0       3.4       41%     52%    44%  100% 0.98   26%
  late       the-abortive              control-lock policy-pick             0%  0/0/60/0       3.8       23%     41%    44%  100% 1.00   36%
  late       the-abortive              aggro-brute  policy-pick             0%  0/0/60/0       3.0       18%     20%    17%  100% 1.00   35%
  late       the-abortive              turtle       policy-pick             0%  0/0/60/0       3.0        3%     45%    53%  100% 1.00   77%
  late       the-abortive              chaos        policy-pick             0%  0/0/60/0       3.1        4%     37%    33%  100% 1.00   38%
  late       the-abortive              mercy-seeker policy-pick             0%  0/0/60/0       3.4       14%     13%    44%  100% 1.00   42%
  impossible the-incompleteness        greedy       policy-pick             0%  0/0/60/0       5.0       12%     25%    21%  100% 1.00   53%
  impossible the-incompleteness        blind        policy-pick             0%  0/0/60/0       5.0       12%     25%    21%  100% 1.00   53%
  impossible the-incompleteness        dot-weaver   policy-pick             0%  0/0/60/0       5.1       39%     54%    44%  100% 0.98   24%
  impossible the-incompleteness        control-lock policy-pick             0%  0/0/60/0       5.5       23%     40%    42%  100% 1.00   33%
  impossible the-incompleteness        aggro-brute  policy-pick             0%  0/0/60/0       5.0       21%     20%    16%  100% 0.99   36%
  impossible the-incompleteness        turtle       policy-pick             0%  0/0/60/0       5.0        2%     40%    60%  100% 1.00   59%
  impossible the-incompleteness        chaos        policy-pick             0%  0/0/60/0       5.1        6%     41%    36%  100% 1.00   50%
  impossible the-incompleteness        mercy-seeker policy-pick             0%  0/0/60/0       5.8       15%     26%    56%  100% 1.00   40%

Win-path mix (per cell — victory/mercy/capitulate/concede/defeat):
  early      grave-larva               greedy       policy-pick           vic= 56 mer=  0 cap=  4 con=  0 def=  0
  early      grave-larva               blind        policy-pick           vic= 56 mer=  0 cap=  4 con=  0 def=  0
  early      grave-larva               dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               control-lock policy-pick           vic= 36 mer=  0 cap= 24 con=  0 def=  0
  early      grave-larva               aggro-brute  policy-pick           vic= 57 mer=  0 cap=  3 con=  0 def=  0
  early      grave-larva               turtle       policy-pick           vic= 25 mer=  0 cap=  0 con=  0 def= 35
