
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards --sandbox=free-line-conversions


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: free-line-conversions (0 cards, 8 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  late       tezcatlipoca              control-lock policy-pick             0%  0/0/60/0       3.9       31%     41%    54%  100% 1.00   40%
  late       tezcatlipoca              aggro-brute  policy-pick             0%  0/0/60/0       4.0       14%     25%    22%  100% 1.00   32%
  late       tezcatlipoca              turtle       policy-pick             0%  0/0/60/0       3.0        2%     22%    60%  100% 1.00   35%
  late       tezcatlipoca              chaos        policy-pick             0%  0/0/60/0       3.0        3%     46%    54%  100% 1.00   38%
  late       tezcatlipoca              mercy-seeker policy-pick             0%  0/0/60/0       3.5        4%     15%    56%  100% 1.00   31%
  late       arch-demon                greedy       policy-pick             0%  0/0/60/0       3.0       12%     56%    44%  100% 1.00   35%
  late       arch-demon                blind        policy-pick             0%  0/0/60/0       3.0       12%     56%    44%  100% 1.00   34%
  late       arch-demon                dot-weaver   policy-pick             0%  0/0/60/0       3.1       20%     53%    46%  100% 1.00   32%
  late       arch-demon                control-lock policy-pick             0%  0/0/60/0       3.9       31%     44%    53%  100% 1.00   49%
  late       arch-demon                aggro-brute  policy-pick             0%  0/0/60/0       4.0       14%     22%    19%  100% 1.00   36%
  late       arch-demon                turtle       policy-pick             0%  0/0/60/0       3.0        2%     27%    58%  100% 1.00   43%
  late       arch-demon                chaos        policy-pick             0%  0/0/60/0       3.0        4%     56%    44%  100% 1.00   37%
  late       arch-demon                mercy-seeker policy-pick             0%  0/0/60/0       3.6        4%     17%    57%  100% 1.00   32%
  late       death                     greedy       policy-pick             0%  0/0/60/0       3.0       12%     58%    42%  100% 1.00   42%
  late       death                     blind        policy-pick             0%  0/0/60/0       3.0       12%     59%    41%  100% 1.00   41%
  late       death                     dot-weaver   policy-pick             0%  0/0/60/0       3.2       20%     52%    45%  100% 1.00   28%
  late       death                     control-lock policy-pick             0%  0/0/60/0       3.9       30%     41%    55%  100% 1.00   40%
  late       death                     aggro-brute  policy-pick             0%  0/0/60/0       4.0       14%     25%    22%  100% 1.00   32%
  late       death                     turtle       policy-pick             0%  0/0/60/0       3.0        2%     22%    60%  100% 1.00   35%
  late       death                     chaos        policy-pick             0%  0/0/60/0       3.0        3%     46%    54%  100% 1.00   38%
  late       death                     mercy-seeker policy-pick             0%  0/0/60/0       3.5        4%     14%    56%  100% 1.00   31%
  late       the-abortive              greedy       policy-pick             0%  0/0/60/0       3.0       12%     58%    42%  100% 1.00   37%
  late       the-abortive              blind        policy-pick             0%  0/0/60/0       3.0       12%     58%    42%  100% 1.00   37%
  late       the-abortive              dot-weaver   policy-pick             0%  0/0/60/0       3.2       20%     52%    45%  100% 1.00   28%
  late       the-abortive              control-lock policy-pick             0%  0/0/60/0       3.9       30%     44%    52%  100% 1.00   47%
  late       the-abortive              aggro-brute  policy-pick             0%  0/0/60/0       4.0       15%     25%    22%  100% 1.00   34%
  late       the-abortive              turtle       policy-pick             0%  0/0/60/0       3.0        2%     21%    58%  100% 1.00   29%
  late       the-abortive              chaos        policy-pick             0%  0/0/60/0       3.0        3%     45%    55%  100% 1.00   35%
  late       the-abortive              mercy-seeker policy-pick             0%  0/0/60/0       3.6        4%     13%    65%  100% 1.00   29%
  impossible the-incompleteness        greedy       policy-pick             0%  0/0/60/0       5.0       15%     55%    45%  100% 0.99   48%
  impossible the-incompleteness        blind        policy-pick             0%  0/0/60/0       5.0       15%     55%    45%  100% 0.99   47%
  impossible the-incompleteness        dot-weaver   policy-pick             0%  0/0/60/0       5.0       19%     54%    45%  100% 1.00   31%
  impossible the-incompleteness        control-lock policy-pick             0%  0/0/60/0       7.0       31%     46%    51%  100% 0.99   39%
  impossible the-incompleteness        aggro-brute  policy-pick             0%  0/0/60/0       5.3       15%     26%    22%  100% 1.00   30%
